S.No,Name,Channel,Slot,Prescale min,Prescale max,Scale min,Scale max,Pre Scale Values,,,,,Scale Values,,,,,PreScaled Unit,Scaled Unit
,,,,,,,,X1,X2,X3,X4,X5,Y1,Y2,Y3,Y4,Y5,,
46,N_PT_193,ai5,Slot5,0.004,0.02,0,400,0.004,0.008,0.012,0.016,0.02,0,100,200,300,400,mA,Barg
47,N_PT_137,ai14,Slot5,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
48,N_PT_131,ai31,Slot3,0.004,0.02,0,400,0.004,0.008,0.012,0.016,0.02,0,100,200,300,400,mA,Barg
49,N_PT_189,ai19,Slot5,0.004,0.02,0,60,0.004,0.008,0.012,0.016,0.02,0,15,30,45,60,mA,Bara
50,G_PT_63,ai3,Slot5,0.004,0.02,0,400,0.004,0.008,0.012,0.016,0.02,0,100,200,300,400,mA,Barg
51,G_PT_74,ai12,Slot5,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
52,I_PT_1,ai0,Slot7,0.004,0.02,0,60,0.004,0.008,0.012,0.016,0.02,0,15,30,45,60,mA,Bara
53,F_RTD_47,ai22,Slot5,0.004,0.02,73.15,1123.15,0.004,0.008,0.012,0.016,0.02,73.15,335.65,598.15,860.65,1123.15,mA,k
54,F_RTD_SC,ai24,Slot5,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,k
55,C_RTD_3,ai20,Slot5,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,k
56,C_RTD_8,ai21,Slot5,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,k
57,C_RTD_12,ai25,Slot5,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,k
58,C_RTD_13,ai24,Slot3,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,k
59,C_RTD_15,ai28,Slot5,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,k
60,C_RTD_18,ai23,Slot5,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,k
61,D_PT_160,ai25,Slot3,0.004,0.02,0,300,0.004,0.008,0.012,0.016,0.02,0,75,150,225,300,mA,mBar
62,D_PT_115,ai26,Slot3,0.004,0.02,0,300,0.004,0.008,0.012,0.016,0.02,0,75,150,225,300,mA,mBar
63,Bearing_RTD,ai26,Slot5,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,K
64,E_Surface_RTD,ai29,Slot5,0.004,0.02,73.15,873.15,0.004,0.008,0.012,0.016,0.02,0,273.15,473.15,673.15,873.15,mA,K
65,C_PT_6,ai3,Slot7,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
66,C_PT_10,ai4,Slot7,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
67,C_RTD_11,ai5,Slot7,0.004,0.02,73.15,373.15,0.004,0.008,0.012,0.016,0.02,73.15,148.15,223.15,298.15,373.15,mA,K
