Sr. No.,CDT (s),Delay(s),Delay(ms),Component ID,Range/Position,Failure Case Sequence
393,48.74,0,0,SP_14,Close,
394,48.74,0,0,SP_15,Close,
395,48.74,0,0,SP_18,Close,
396,48.74,0,0,SP_19,Close,
397,49.24,0.5,500,R_G_EV_1,Close,
398,49.29,0.05,50,G_EPV_DRAIN,Open,
399,49.39,0.1,100,G_EV_Inj_8,Close,
400,49.39,0,0,G_EV_Inj_9,Close,
401,49.39,0,0,G_EV_Inj_12,Close,
402,49.39,0,0,G_EV_Inj_14,Close,
403,49.39,0,0,G_EV_Inj_15,Close,
404,49.39,0,0,G_EV_Inj_18,Close,
405,49.39,0,0,G_EV_Inj_19,Close,
406,49.4,0.01,10,R_M_EV_1,Close,
407,49.45,0.05,50,M_EPV_DRAIN,Open,
408,49.55,0.1,100,M_EV_Inj_8,Close,
409,49.55,0,0,M_EV_Inj_9,Close,
410,49.55,0,0,M_EV_Inj_12,Close,
411,49.55,0,0,M_EV_Inj_14,Close,
412,49.55,0,0,M_EV_Inj_15,Close,
413,49.55,0,0,M_EV_Inj_18,Close,
414,49.55,0,0,M_EV_Inj_19,Close,
