Sr. No.,CDT (s),Delay(s),Delay(ms),Component ID,Range/Position,Failure Case Sequence
110,1,0,0,I_PT(P)_12,0\7,FAB
111,1,0,0,I_PT(P)_13,0\7,FAB
112,1,0,0,I_PT(P)_14,0\7,FAB
113,1,0,0,I_PT(P)_15,0\7,FAB
114,1,0,0,I_PT(P)_16,0\7,FAB
115,1,0,0,I_PT(P)_17,0\7,FAB
116,1,0,0,I_PT(P)_18,0\7,FAB
117,1,0,0,I_PT(P)_19,0\7,FAB
118,1.5,0.5,500,SP_7,Close,
119,1.5,0,0,SP_8,Close,
120,1.5,0,0,SP_9,Close,
121,1.5,0,0,SP_10,Close,
122,1.5,0,0,SP_11,Close,
123,1.5,0,0,SP_12,Close,
124,1.5,0,0,SP_13,Close,
125,1.5,0,0,SP_14,Close,
,1.5,0,0,SP_15,Close,
,1.5,0,0,SP_16,Close,
,1.5,0,0,SP_17,Close,
,1.5,0,0,SP_18,Close,
,1.5,0,0,SP_19,Close,
,2,0.5,500,R_G_EV_1,Close,
126,2.4,0.4,400,R_M_EV_1,Close,
127,3.1,0.7,700,G_EV_Inj_1,,
128,3.1,0,0,G_EV_inj_2,,
129,3.1,0,0,G_EV_inj_3,,
130,3.1,0,0,G_EV_inj_4,,
131,3.1,0,0,G_EV_inj_5,,
132,3.1,0,0,G_EV_inj_6,,
133,3.1,0,0,G_EV_Inj_7,Close,
134,3.1,0,0,G_EV_Inj_8,Close,
135,3.1,0,0,G_EV_Inj_9,Close,
136,3.1,0,0,G_EV_Inj_10,Close,
137,3.1,0,0,G_EV_Inj_11,Close,
138,3.1,0,0,G_EV_Inj_12,Close,
139,3.1,0,0,G_EV_Inj_13,Close,
140,3.1,0,0,G_EV_Inj_14,Close,
141,3.1,0,0,G_EV_Inj_15,Close,
142,3.1,0,0,G_EV_Inj_16,Close,
143,3.1,0,0,G_EV_Inj_17,Close,
144,3.1,0,0,G_EV_Inj_18,Close,
145,3.1,0,0,G_EV_Inj_19,Close,
146,3.5,0.4,400,M_EV_Inj_1,Close,
147,3.5,0,0,M_EV_inj_2,Close,
148,3.5,0,0,M_EV_Inj_3,Close,
149,3.5,0,0,M_EV_inj_4,Close,
150,3.5,0,0,M_EV_Inj_5,Close,
151,3.5,0,0,M_EV_Inj_6,Close,
,3.5,0,0,M_EV_Inj_7,Close,
,3.5,0,0,M_EV_Inj_8,Close,
,3.5,0,0,M_EV_Inj_9,Close,
,3.5,0,0,M_EV_Inj_10,Close,
,3.5,0,0,M_EV_Inj_11,Close,
,3.5,0,0,M_EV_Inj_12,Close,
,3.5,0,0,M_EV_Inj_13,Close,
,3.5,0,0,M_EV_Inj_14,Close,
,3.5,0,0,M_EV_Inj_15,Close,
,3.5,0,0,M_EV_Inj_16,Close,
,3.5,0,0,M_EV_Inj_17,Close,
,3.5,0,0,M_EV_Inj_18,Close,
,3.5,0,0,M_EV_Inj_19,Close,
