Sr. No.,CDT (s),Delay(s),Delay(ms),Component ID,Range/Position,Failure Case Sequence
250,17.3,1,1000,I_PT(P)_7,0\7,F1
251,17.3,0,0,I_PT(P)_13,0\7,F1
252,17.8,0.5,500,SP_7,Close,
253,17.8,0,0,SP_13,Close,
254,18.3,0.5,500,R_G_EV_1,Close,
255,18.35,0.05,50,G_EPV_DRAIN,Open,
256,18.45,0.1,100,G_EV_Inj_7,Close,
257,18.45,0,0,G_EV_Inj_13,Close,
258,18.46,0.01,10,R_M_EV_1,Close,
259,18.51,0.05,50,M_EPV_DRAIN,Open,
260,18.61,0.1,100,M_EV_Inj_7,Close,
261,18.61,0,0,M_EV_Inj_13,Close,
262,19.86,1.25,1250,G_EPV_DRAIN,Close,
263,19.96,0.1,100,M_EPV_DRAIN,Close,
264,22.96,3,3000,P_H_EPV_1,Open,
265,22.96,0,0,P_H_EPV_2,Open,
266,23.96,1,1000,G_EV_Inj_10,Open,
267,23.96,0,0,G_EV_Inj_11,Open,
268,23.96,0,0,G_EV_Inj_16,Open,
269,23.96,0,0,G_EV_Inj_17,Open,
270,23.96,0,0,M_EV_Inj_10,Open,
271,23.96,0,0,M_EV_Inj_11,Open,
272,23.96,0,0,M_EV_Inj_16,Open,
273,23.96,0,0,M_EV_Inj_17,Open,
274,25.96,2,2000,P_H_EPV_1,Close,
275,26.01,0.05,50,G_EPV_DRAIN,Open,
276,26.01,0,0,P_H_EPV_2,Close,
277,26.06,0.05,50,M_EPV_DRAIN,Open,
278,26.56,0.5,500,G_EV_Inj_10,Close,
279,26.56,0,0,G_EV_Inj_11,Close,
280,26.56,0,0,G_EV_Inj_16,Close,
281,26.56,0,0,G_EV_Inj_17,Close,
282,26.56,0,0,M_EV_Inj_10,Close,
283,26.56,0,0,M_EV_Inj_11,Close,
284,26.56,0,0,M_EV_Inj_16,Close,
285,26.56,0,0,M_EV_Inj_17,Close,
286,27.56,1,1000,G_EPV_DRAIN,Close,
287,27.96,0.4,400,M_EPV_DRAIN,Close,
288,28.46,0.5,500,R_G_EV_1,Open,
289,28.46,0,0,R_M_EV_1,Open,
290,30.46,2,2000,SP_10,Open,
291,30.46,0,0,SP_11,Open,
292,30.46,0,0,SP_16,Open,
293,30.46,0,0,SP_17,Open,
294,30.56,0.1,100,G_EV_Inj_10,Open,
295,30.56,0,0,G_EV_Inj_11,Open,
296,30.56,0,0,G_EV_Inj_16,Open,
297,30.56,0,0,G_EV_Inj_17,Open,
298,30.96,0.4,400,M_EV_Inj_10,Open,
299,30.96,0,0,M_EV_Inj_11,Open,
300,30.96,0,0,M_EV_Inj_16,Open,
301,30.96,0,0,M_EV_Inj_17,Open,
302,31.96,1,1000,I_PT(P)_10,0\7,F2
303,31.96,0,0,I_PT(P)_11,0\7,F2
304,31.96,0,0,I_PT(P)_16,0\7,F2
305,31.96,0,0,I_PT(P)_17,0\7,F2
306,32.46,0.5,500,SP_10,Close,
307,32.46,0,0,SP_11,Close,
308,32.46,0,0,SP_16,Close,
309,32.46,0,0,SP_17,Close,
310,32.96,0.5,500,R_G_EV_1,Close,
311,33.01,0.05,50,G_EPV_DRAIN,Open,
312,33.11,0.1,100,G_EV_Inj_10,Close,
313,33.11,0,0,G_EV_Inj_11,Close,
314,33.11,0,0,G_EV_Inj_16,Close,
315,33.11,0,0,G_EV_Inj_17,Close,
316,33.12,0.01,10,R_M_EV_1,Close,
317,33.17,0.05,50,M_EPV_DRAIN,Open,
318,33.27,0.1,100,M_EV_Inj_10,Close,
319,33.27,0,0,M_EV_Inj_11,Close,
320,33.27,0,0,M_EV_Inj_16,Close,
321,33.27,0,0,M_EV_Inj_17,Close,
322,34.52,1.25,1250,G_EPV_DRAIN,Close,
323,34.62,0.1,100,M_EPV_DRAIN,Close,
324,37.62,3,3000,P_H_EPV_1,Open,
325,37.62,0,0,P_H_EPV_2,Open,
326,38.62,1,1000,G_EV_Inj_8,Open,
327,38.62,0,0,G_EV_Inj_9,Open,
328,38.62,0,0,G_EV_Inj_12,Open,
329,38.62,0,0,G_EV_Inj_14,Open,
330,38.62,0,0,G_EV_Inj_15,Open,
331,38.62,0,0,G_EV_Inj_18,Open,
332,38.62,0,0,G_EV_Inj_19,Open,
333,38.62,0,0,M_EV_Inj_8,Open,
334,38.62,0,0,M_EV_Inj_9,Open,
335,38.62,0,0,M_EV_Inj_12,Open,
336,38.62,0,0,M_EV_Inj_14,Open,
337,38.62,0,0,M_EV_Inj_15,Open,
338,38.62,0,0,M_EV_Inj_18,Open,
339,38.62,0,0,M_EV_Inj_19,Open,
340,40.62,2,2000,P_H_EPV_1,Close,
341,40.67,0.05,50,G_EPV_DRAIN,Open,
342,40.67,0,0,P_H_EPV_2,Close,
343,40.72,0.05,50,M_EPV_DRAIN,Open,
344,41.22,0.5,500,G_EV_Inj_8,Close,
345,41.22,0,0,G_EV_Inj_9,Close,
346,41.22,0,0,G_EV_Inj_12,Close,
347,41.22,0,0,G_EV_Inj_14,Close,
348,41.22,0,0,G_EV_Inj_15,Close,
349,41.22,0,0,G_EV_Inj_18,Close,
350,41.22,0,0,G_EV_Inj_19,Close,
351,41.22,0,0,M_EV_Inj_8,Close,
352,41.22,0,0,M_EV_Inj_9,Close,
353,41.22,0,0,M_EV_Inj_12,Close,
354,41.22,0,0,M_EV_Inj_14,Close,
355,41.22,0,0,M_EV_Inj_15,Close,
356,41.22,0,0,M_EV_Inj_18,Close,
357,41.22,0,0,M_EV_Inj_19,Close,
358,42.22,1,1000,G_EPV_DRAIN,Close,
359,42.62,0.4,400,M_EPV_DRAIN,Close,
360,43.12,0.5,500,R_G_EV_1,Open,
361,43.12,0,0,R_M_EV_1,Open,
362,45.12,2,2000,SP_8,Open,
363,45.12,0,0,SP_9,Open,
364,45.12,0,0,SP_12,Open,
365,45.12,0,0,SP_14,Open,
366,45.12,0,0,SP_15,Open,
367,45.12,0,0,SP_18,Open,
