LAYER_NUMBER,MEAN (E7),MEAN (E8),MEAN (E14),MEAN (E15),MEAN (13),MEAN (16)
1665,2368.95,2152.89,2247.79,2225.78,,
1666,2281,2088.97,2149.81,2156.75,,
1667,2469.82,2216.57,2312.27,2292.81,,
1668,2345.89,2127.44,2213.97,2211.74,,
1669,2337.62,2110.16,2173.89,2162.19,,
1670,2377.26,2172.42,2283.83,2270.95,,
1671,2346.96,2094.42,2198.23,2144.63,,
1672,2394.48,2143.46,2275.23,2274.1,,
1673,2415.98,2171.83,2276.88,2247.81,,
1674,2272.71,2039.6,2148.98,2153.89,,
1675,2428.29,2189.84,2287.97,2260.3,,
1676,2303.14,2100.23,2182.13,2183.9,,
1677,2360.67,2109.03,2216.85,2176.02,,
1678,2433.33,2220.05,2327.24,2328.27,,
1679,2334.48,2121.42,2189.52,2155.94,,
1680,2349.08,2133.26,2228.8,2246.35,,
1681,2394.07,2170.29,2275.94,2253.44,,
1682,2271.41,2069.04,2151.93,2166.01,,
1683,2496.04,2218.81,2333.54,2306.03,,
1684,2339.3,2112.25,2213.57,2210.81,,
1685,2357.23,2105.64,2215.9,2167.03,,
1686,2397.63,2196.73,2287.83,2286.26,,
1687,2348.03,2119.95,2194.33,2167.64,,
1688,2376.19,2135.72,2254.49,2258.34,,
1689,2455.94,2206.24,2318.44,2265.17,,
1690,2297.37,2081.69,2171.23,2174.96,,
1691,2424.93,2198.94,2294.85,2246.48,,
1692,2339.13,2127.03,2221.66,2215.3,,
1693,2367.16,2097.81,2209.84,2159.82,,
1694,2465.99,2215.99,2333.58,2342.23,,
1695,2404.02,2146.89,2244.62,2199.24,,
1696,2348.51,2089.61,2210.02,2219.42,,
1697,2418.52,2187.22,2280.37,2262.72,,
1698,2283.18,2075.27,2148.9,2159.92,,
1699,2502.32,2211.79,2318.02,2296.95,,
1700,2372.01,2158,2261.91,2254.44,,
1701,2343.84,2088.59,2186.44,2161.77,,
1702,2404.06,2211.94,2276.74,2269.5,,
1703,2387.06,2160.56,2234.2,2202.78,,
1704,2359.8,2134.43,2223.98,2235.65,,
1705,2475.99,2248.15,2329.07,2296.69,,
1706,2339.77,2110.9,2201.35,2197.95,,
1707,2439.38,2182.13,2273.62,2242.16,,
1708,2359.54,2151.58,2268.99,2238.74,,
1709,2393.21,2140.41,2236.58,2176.36,,
1710,2421.64,2231.44,2300.95,2292.79,,
1711,2383.06,2160.9,2238.91,2199.98,,
1712,2329.54,2097.54,2205.15,2205.18,,
1713,2426.84,2207.51,2287.31,2248.97,,
1714,2301.81,2092.2,2167.29,2167.91,,
1715,2451.6,2200.43,2286.11,2244.23,,
1716,2380.82,2193,2274.61,2255.88,,
1717,2328.22,2085.32,2166.08,2139.81,,
1718,2399.08,2186.17,2291.51,2275.88,,
1719,2394.92,2159.08,2247.44,2183.93,,
1720,2349.01,2100.33,2218.63,2198.33,,
1721,2486.6,2239.59,2305.7,2266.26,,
1722,2304.79,2090.22,2178.53,2175.39,,
1723,2430.91,2152.43,2248.4,2227.87,,
1724,2371.85,2160.3,2254.98,2240.44,,
1725,2348.57,2116.16,2176.04,2129.42,,
1726,2431.36,2223.71,2307.23,2303.56,,
1727,2394,2167.11,2235.28,2205.67,,
1728,2319.96,2074.58,2172.44,2173.18,,
1729,2408.68,2217.39,2268.96,2247.09,,
1730,2318.67,2101.89,2180.02,2186.63,,
1731,2427.69,2147.05,2289.09,2243.25,,
1732,2396.75,2189.25,2279.81,2276.48,,
1733,2338.19,2099.21,2172.13,2148.81,,
1734,2385.1,2165.74,2254.32,2257.3,,
1735,2390.04,2131.27,2241.96,2203.31,,
1736,2336.18,2069.34,2203.18,2202.04,,
1737,2489.86,2234.33,2322.34,2285.08,,
1738,2354.73,2121.92,2217.74,2212.6,,
1739,2378.01,2107.87,2215.03,2185.26,,
1740,2369.06,2145.36,2256.92,2243.48,,
1741,2355.36,2097.07,2185.69,2138.88,,
1742,2419.7,2176.63,2289.12,2277.94,,
1743,2410.19,2145.48,2256.25,2220.89,,
1744,2302.29,2063.83,2161.52,2154.06,,
1745,2428.46,2192.09,2278.87,2243.79,,
1746,2357.61,2069.29,2212.41,2218.04,,
1747,2421.05,2119.69,2249.8,2214.77,,
1748,2433.76,2183.32,2310.97,2311.18,,
1749,2339.45,2106.23,2168.01,2143.44,,
1750,2376.62,2123.18,2241.21,2230.15,,
1751,2425.23,2140.32,2256.53,2244.94,,
1752,2325.78,2073.36,2181.72,2186.2,,
1753,2447.55,2189.11,2293.77,2261.22,,
1754,2318.05,2089.52,2188.27,2195.78,,
1755,2369.33,2079.51,2178.71,2170.59,,
1756,2383.25,2158.32,2266.7,2246.53,,
1757,2398.22,2091.84,2208.4,2158.59,,
1758,2398.67,2154.12,2258.38,2275.37,,
1759,2431.37,2161.41,2272.72,2248.72,,
1760,2306.2,2045.98,2158.66,2150.09,,
1761,2443.84,2174.83,2272.75,2249.41,,
1762,2340.58,2088.61,2209.38,2215,,
1763,2393.99,2086.72,2220.98,2200.8,,
1764,2415.88,2162.79,2279.17,2292.76,,
1765,2337.27,2092.88,2170.35,2148.7,,
1766,2374.88,2090.68,2230.87,2212.74,,
1767,2408.23,2136.13,2251.07,2236.13,,
1768,2302.13,2057.18,2165.9,2167.95,,
1769,2467.83,2189.94,2307.45,2276.85,,
1770,2346.26,2116.21,2209.16,2210.35,,
1771,2361.37,2081.57,2186.45,2167.86,,
1772,2383.17,2157.37,2270.04,2260.14,,
1773,2394.94,2103.99,2200.72,2158.66,,
1774,2391.96,2103.57,2265.01,2258.76,,
1775,2455.16,2179.55,2290.11,2248.15,,
1776,2307.57,2064.54,2163.6,2154.91,,
1777,2423.48,2145.53,2272.73,2233.53,,
1778,2353.21,2093.1,2215.24,2218.75,,
1779,2389.02,2065.83,2194,2164.66,,
1780,2434.3,2177.77,2304.32,2302.04,,
1781,2384.36,2111.84,2207.01,2179.23,,
1782,2341.01,2071.03,2200.25,2193.12,,
1783,2421.08,2124.35,2246.09,2217.76,,
1784,2292.26,2053.22,2142.75,2136.54,,
1785,2466.44,2143.79,2287.34,2275.91,,
1786,2369.46,2093.63,2227.58,2224.68,,
1787,2342,2065.61,2163.28,2139.89,,
1788,2405.59,2152.85,2274.42,2262.32,,
1789,2384.64,2065.44,2210.7,2168.34,,
1790,2379.28,2075.47,2223.49,2217.07,,
1791,2465.89,2167.5,2305.89,2253.8,,
1792,2327.52,2066.24,2173.14,2162.14,,
1793,2425.51,2138.43,2260.91,2229.98,,
1794,2379.14,2104,2234.94,2219.5,,
1795,2384.97,2081.27,2201.75,2163.15,,
1796,2403.07,2167.75,2262.72,2266.67,,
1797,2380.72,2105.52,2205.85,2178.62,,
1798,2345.39,2059.81,2194.21,2185.98,,
1799,2424.89,2166.74,2245.62,2238.41,,
1800,2330.74,2060.99,2175.17,2176.86,,
1801,2479.39,2153.67,2297.38,2268.25,,
1802,2371.19,2106.21,2236.93,2244.06,,
1803,2327.14,2054.94,2147.99,2129.25,,
1804,2411.4,2147.64,2261.45,2253.66,,
1805,2417.41,2087.75,2214.63,2188.87,,
1806,2380.44,2072.51,2224.06,2232.23,,
1807,2473.59,2168.19,2302.21,2251.91,,
1808,2327.48,2049.26,2164.44,2160.36,,
1809,2440.87,2113.45,2263.41,2227.27,,
1810,2370.6,2098.97,2231.4,2215.63,,
1811,2378.26,2074.92,2186.89,2153.08,,
1812,2425.4,2139.53,2302.85,2303.04,,
1813,2381.71,2113.73,2212.5,2191.86,,
1814,2360.71,2070.71,2205.6,2193.07,,
1815,2436.15,2154.19,2254,2249.17,,
1816,2328.65,2062.7,2186.06,2175.74,,
1817,2478.28,2117.05,2285.71,2250.55,,
1818,2388.96,2131.68,2254.16,2244.68,,
1819,2334.33,2074.92,2167.89,2130.75,,
1820,2397.94,2141.69,2264.74,2241.67,,
1821,2411.94,2096.2,2232.28,2202.02,,
1822,2361.55,2043.4,2206.03,2201.58,,
1823,2479.89,2171.43,2308.47,2258.78,,
1824,2365.72,2072.81,2216.4,2210.45,,
1825,2451.79,2078.05,2279.76,2252.54,,
1826,2358.68,2110.38,2225.38,2207.77,,
